year,id,marital,hrs1,conrinc,childs,meovrwrk,hlthdep
2018.0,237,widowed,40.0,22782.5,4.0,agree,
2018.0,238,widowed,,,4.0,,
2018.0,239,married,,57832.5,4.0,disagree,
2018.0,240,married,,,0.0,agree,
2018.0,241,married,40.0,26287.5,3.0,,
2018.0,242,never married,45.0,31545.0,2.0,,
2018.0,243,married,40.0,19277.5,3.0,agree,
2018.0,244,married,40.0,26287.5,3.0,disagree,
2018.0,245,never married,15.0,,0.0,disagree,
2018.0,246,never married,40.0,,0.0,disagree,
2018.0,247,never married,40.0,31545.0,2.0,,
2018.0,248,widowed,,,1.0,,
2018.0,249,never married,,,0.0,,
2018.0,250,married,,,0.0,agree,
2018.0,251,divorced,,,2.0,,
2018.0,252,married,60.0,182695.90984,2.0,agree,
2018.0,253,divorced,,4556.5,3.0,disagree,
2018.0,254,never married,,,7.0,neither agree nor disagree,
2018.0,255,divorced,,,6.0,disagree,
2018.0,256,separated,,,8.0,strongly agree,
2018.0,257,never married,48.0,22782.5,1.0,,
2018.0,258,never married,40.0,,0.0,disagree,
2018.0,259,widowed,,,7.0,disagree,
2018.0,260,married,40.0,47317.5,3.0,agree,
2018.0,261,married,,,3.0,neither agree nor disagree,
2018.0,262,never married,38.0,9638.75,0.0,,
2018.0,263,married,70.0,47317.5,0.0,strongly disagree,
2018.0,264,married,30.0,,1.0,neither agree nor disagree,
2018.0,265,married,,22782.5,2.0,agree,
2018.0,266,never married,,,0.0,strongly agree,
2018.0,267,separated,42.0,57832.5,2.0,,
2018.0,268,divorced,40.0,57832.5,1.0,neither agree nor disagree,
2018.0,269,never married,40.0,47317.5,0.0,,
2018.0,270,never married,40.0,26287.5,1.0,strongly agree,
2018.0,271,never married,50.0,31545.0,0.0,,
2018.0,272,married,50.0,,2.0,disagree,
2018.0,273,never married,40.0,13143.75,2.0,,
2018.0,274,divorced,35.0,9638.75,3.0,agree,
2018.0,275,never married,,38555.0,0.0,,
2018.0,276,married,70.0,70100.0,1.0,disagree,
2018.0,277,married,55.0,182695.90984,2.0,,
2018.0,278,divorced,25.0,9638.75,1.0,,
2018.0,279,married,40.0,70100.0,1.0,,
2018.0,280,married,40.0,38555.0,3.0,disagree,
2018.0,281,divorced,55.0,47317.5,1.0,strongly agree,
2018.0,282,married,40.0,26287.5,3.0,,
2018.0,283,married,52.0,26287.5,0.0,agree,
2018.0,284,married,,84120.0,1.0,disagree,
2018.0,285,divorced,,,0.0,,
2018.0,286,married,,,2.0,agree,
2018.0,287,divorced,,98140.0,3.0,,
2018.0,288,never married,40.0,31545.0,1.0,disagree,
2018.0,289,separated,44.0,,3.0,disagree,
2018.0,290,widowed,,,4.0,agree,
2018.0,291,divorced,45.0,84120.0,1.0,,
2018.0,292,married,30.0,,1.0,,
2018.0,293,never married,40.0,31545.0,2.0,agree,
2018.0,294,divorced,40.0,31545.0,2.0,agree,
2018.0,295,never married,,,0.0,,
2018.0,296,married,40.0,38555.0,3.0,disagree,
2018.0,297,never married,,,0.0,agree,
2018.0,298,never married,,,0.0,disagree,
2018.0,299,never married,37.0,47317.5,0.0,neither agree nor disagree,
2018.0,300,never married,40.0,57832.5,1.0,,
2018.0,301,married,40.0,47317.5,1.0,disagree,
2018.0,302,married,,22782.5,2.0,,
2018.0,303,married,40.0,57832.5,2.0,neither agree nor disagree,
2018.0,304,divorced,40.0,84120.0,1.0,disagree,
2018.0,305,married,6.0,3154.5,3.0,,
2018.0,306,separated,60.0,38555.0,2.0,disagree,
2018.0,307,never married,40.0,,0.0,,
2018.0,308,never married,40.0,,0.0,,
2018.0,309,divorced,45.0,16648.75,2.0,agree,
2018.0,310,married,,182695.90984,3.0,,
2018.0,311,divorced,,,3.0,neither agree nor disagree,
2018.0,312,never married,40.0,70100.0,3.0,agree,
2018.0,313,widowed,45.0,182695.90984,0.0,,
2018.0,314,married,40.0,84120.0,2.0,,
2018.0,315,divorced,35.0,38555.0,0.0,strongly disagree,
2018.0,316,never married,45.0,22782.5,0.0,,
2018.0,317,married,,,8.0,disagree,
2018.0,318,widowed,,,5.0,agree,
2018.0,319,married,35.0,57832.5,5.0,disagree,
2018.0,320,married,70.0,47317.5,2.0,disagree,
2018.0,321,married,,,3.0,,
2018.0,322,married,30.0,6309.0,3.0,agree,
2018.0,323,married,,,7.0,disagree,
2018.0,324,never married,,,1.0,,
2018.0,325,widowed,,,4.0,disagree,
2018.0,326,widowed,,,4.0,agree,
2018.0,327,separated,,,8.0,disagree,
2018.0,328,widowed,,,0.0,,
2018.0,329,never married,,,0.0,neither agree nor disagree,
2018.0,330,never married,,3154.5,0.0,,
2018.0,331,never married,45.0,13143.75,0.0,agree,
2018.0,332,married,40.0,84120.0,0.0,,
2018.0,333,divorced,,,3.0,agree,
2018.0,334,never married,,26287.5,2.0,disagree,
2018.0,335,married,,47317.5,2.0,agree,
2018.0,336,married,,,2.0,agree,
2018.0,337,never married,60.0,26287.5,0.0,disagree,
2018.0,338,married,60.0,182695.90984,4.0,,
2018.0,339,married,40.0,98140.0,2.0,,
2018.0,340,divorced,50.0,182695.90984,0.0,disagree,
2018.0,341,widowed,40.0,98140.0,3.0,,
2018.0,342,married,,2453.5,0.0,neither agree nor disagree,
2018.0,343,married,40.0,98140.0,2.0,,
2018.0,344,married,40.0,182695.90984,4.0,agree,
2018.0,345,married,,19277.5,3.0,agree,
2018.0,346,divorced,,,5.0,,
2018.0,347,never married,40.0,26287.5,2.0,disagree,
2018.0,348,widowed,,,3.0,strongly agree,
2018.0,349,never married,,,0.0,disagree,
2018.0,350,married,,350.5,4.0,,
2018.0,351,married,40.0,182695.90984,1.0,agree,
2018.0,352,married,,7886.249999999999,8.0,disagree,
2018.0,353,married,,,2.0,,
2018.0,354,married,,84120.0,1.0,agree,
2018.0,355,married,45.0,84120.0,2.0,disagree,
2018.0,356,married,,,6.0,,
2018.0,357,never married,37.0,6309.0,2.0,,
2018.0,358,married,40.0,70100.0,3.0,agree,
2018.0,359,never married,60.0,57832.5,1.0,disagree,
2018.0,360,separated,60.0,38555.0,0.0,,
2018.0,361,married,,,4.0,agree,
2018.0,362,married,,,2.0,agree,
2018.0,363,married,10.0,,2.0,agree,
2018.0,364,separated,30.0,22782.5,3.0,neither agree nor disagree,
2018.0,365,divorced,45.0,57832.5,2.0,,
2018.0,366,divorced,,,1.0,,
2018.0,367,never married,40.0,98140.0,0.0,agree,
2018.0,368,never married,45.0,57832.5,0.0,,
2018.0,369,married,55.0,70100.0,0.0,agree,
2018.0,370,married,40.0,182695.90984,2.0,disagree,
2018.0,371,never married,60.0,182695.90984,0.0,neither agree nor disagree,
2018.0,372,married,52.0,70100.0,0.0,,
2018.0,373,never married,40.0,57832.5,0.0,strongly disagree,
2018.0,374,married,,,4.0,agree,
2018.0,375,separated,40.0,22782.5,2.0,disagree,
2018.0,376,married,,38555.0,0.0,,
2018.0,377,never married,60.0,3855.5,0.0,disagree,
2018.0,378,widowed,,,2.0,,
2018.0,379,widowed,,,3.0,neither agree nor disagree,
2018.0,380,married,,,2.0,agree,
2018.0,381,married,20.0,350.5,2.0,agree,
2018.0,382,widowed,,,5.0,,
2018.0,383,widowed,,,3.0,strongly agree,
2018.0,384,married,15.0,26287.5,1.0,,
2018.0,385,married,50.0,70100.0,3.0,disagree,
2018.0,386,never married,30.0,38555.0,0.0,agree,
2018.0,387,never married,35.0,47317.5,0.0,neither agree nor disagree,
2018.0,388,never married,40.0,26287.5,0.0,agree,
2018.0,389,married,40.0,,0.0,,
2018.0,390,widowed,,,7.0,agree,
2018.0,391,divorced,40.0,,2.0,,
2018.0,392,never married,40.0,,0.0,agree,
2018.0,393,never married,,,0.0,disagree,
2018.0,394,never married,,,0.0,,
2018.0,395,married,40.0,57832.5,0.0,agree,
2018.0,396,married,,,3.0,,
2018.0,397,never married,,,0.0,agree,
2018.0,398,married,30.0,84120.0,2.0,agree,
2018.0,399,divorced,,19277.5,2.0,neither agree nor disagree,
2018.0,400,married,,,4.0,disagree,
2018.0,401,never married,32.0,19277.5,0.0,disagree,
2018.0,402,never married,,,0.0,agree,
2018.0,403,never married,38.0,1402.0,0.0,,
2018.0,404,married,8.0,,2.0,strongly agree,
2018.0,405,never married,,,4.0,disagree,
2018.0,406,married,,,2.0,agree,
2018.0,407,never married,,,4.0,agree,
2018.0,408,married,,,3.0,disagree,
2018.0,409,divorced,,,3.0,agree,
2018.0,410,married,40.0,31545.0,3.0,disagree,
2018.0,411,married,,,2.0,disagree,
2018.0,412,divorced,,,3.0,agree,
2018.0,413,married,50.0,,2.0,agree,
2018.0,414,married,40.0,70100.0,1.0,disagree,
2018.0,415,never married,,,1.0,agree,
2018.0,416,married,45.0,182695.90984,2.0,strongly disagree,
2018.0,417,separated,70.0,38555.0,2.0,,
2018.0,418,divorced,,31545.0,3.0,,
2018.0,419,married,35.0,38555.0,3.0,disagree,
2018.0,420,divorced,,38555.0,2.0,neither agree nor disagree,
2018.0,421,married,,,2.0,agree,
2018.0,422,married,40.0,57832.5,1.0,,
2018.0,423,divorced,41.0,47317.5,2.0,agree,
2018.0,424,never married,40.0,,1.0,,
2018.0,425,married,38.0,14896.249999999998,2.0,agree,
2018.0,426,married,18.0,4556.5,1.0,,
2018.0,427,married,25.0,2453.5,2.0,agree,
2018.0,428,married,60.0,182695.90984,2.0,neither agree nor disagree,
2018.0,429,divorced,40.0,47317.5,0.0,disagree,
2018.0,430,married,40.0,31545.0,3.0,strongly agree,
2018.0,431,divorced,50.0,98140.0,2.0,,
2018.0,432,married,60.0,182695.90984,2.0,,
2018.0,433,widowed,,,5.0,neither agree nor disagree,
2018.0,434,married,40.0,11391.25,0.0,neither agree nor disagree,
2018.0,435,widowed,,,3.0,agree,
2018.0,436,married,,,2.0,agree,
2018.0,437,widowed,,,0.0,agree,
2018.0,438,married,,6309.0,2.0,,
2018.0,439,married,60.0,182695.90984,2.0,strongly disagree,
2018.0,440,never married,45.0,26287.5,0.0,,
2018.0,441,married,40.0,16648.75,0.0,,
2018.0,442,married,40.0,38555.0,1.0,,
2018.0,443,never married,,,0.0,agree,
2018.0,444,married,,,5.0,strongly agree,
2018.0,445,married,,,1.0,,
2018.0,446,never married,48.0,38555.0,0.0,disagree,
2018.0,447,never married,40.0,22782.5,1.0,,
2018.0,448,never married,36.0,112160.0,0.0,neither agree nor disagree,
2018.0,449,widowed,,,1.0,,
2018.0,450,never married,,,5.0,agree,
2018.0,451,never married,40.0,38555.0,4.0,agree,
2018.0,452,married,,22782.5,0.0,,
2018.0,453,widowed,,,4.0,agree,
2018.0,454,never married,55.0,38555.0,0.0,,
2018.0,455,divorced,40.0,70100.0,3.0,disagree,
2018.0,456,never married,,,0.0,agree,
2018.0,457,separated,,,5.0,,
2018.0,458,married,,,1.0,,
2018.0,459,married,,,2.0,neither agree nor disagree,
2018.0,460,married,40.0,,0.0,neither agree nor disagree,
2018.0,461,married,50.0,57832.5,0.0,,
2018.0,462,never married,50.0,6309.0,0.0,,
2018.0,463,married,40.0,57832.5,0.0,,
2018.0,464,never married,37.0,26287.5,1.0,strongly agree,
2018.0,465,married,,,3.0,disagree,
2018.0,466,never married,30.0,5257.5,0.0,,
2018.0,467,married,40.0,47317.5,2.0,strongly disagree,
2018.0,468,married,,,2.0,agree,
2018.0,469,married,37.0,57832.5,0.0,agree,
2018.0,470,divorced,40.0,22782.5,1.0,disagree,
2018.0,471,divorced,,,3.0,disagree,
2018.0,472,divorced,40.0,22782.5,1.0,,
2018.0,473,married,,,2.0,disagree,
2018.0,474,married,57.0,84120.0,0.0,,
2018.0,475,never married,,,1.0,,
2018.0,476,married,,,3.0,agree,
2018.0,477,married,42.0,57832.5,0.0,,
2018.0,478,married,35.0,2453.5,2.0,agree,
2018.0,479,married,,,3.0,agree,
2018.0,480,never married,30.0,16648.75,0.0,,
2018.0,481,never married,36.0,57832.5,0.0,agree,
2018.0,482,married,30.0,13143.75,0.0,disagree,
2018.0,483,married,,,2.0,agree,
